region_id,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
LGA10050,509,534,1043,29,16,45,7,13,20,545,563,1108,21407,23183,44590,1118,993,2111,23070,24739,47809
LGA10110,682,802,1484,5,5,10,12,7,19,699,814,1513,10191,11060,21251,623,716,1339,11513,12590,24103
LGA10150,106,110,216,6,4,10,4,4,8,116,118,234,18557,19799,38356,1359,1265,2624,20032,21182,41214
LGA10200,240,181,421,10,5,15,7,5,12,257,191,448,35179,33122,68301,2790,2200,4990,38226,35513,73739
LGA10250,522,645,1167,15,14,29,19,10,29,556,669,1225,17578,19082,36660,709,679,1388,18843,20430,39273
LGA10300,62,79,141,4,3,7,3,3,6,69,85,154,1012,965,1977,94,57,151,1175,1107,2282
LGA10350,587,689,1276,42,49,91,11,9,20,640,747,1387,84030,86798,170828,5259,4879,10138,89929,92424,182353
LGA10470,826,739,1565,15,21,36,14,19,33,855,779,1634,17552,17569,35121,920,844,1764,19327,19192,38519
LGA10550,427,446,873,10,8,18,6,8,14,443,462,905,14569,15128,29697,672,675,1347,15684,16265,31949
LGA10600,179,183,362,7,3,10,7,0,7,193,186,379,5685,6098,11783,195,160,355,6073,6444,12517
LGA10650,76,80,156,3,5,8,3,0,3,82,85,167,3752,3811,7563,168,166,334,4002,4062,8064
LGA10750,3905,3910,7815,128,117,245,73,66,139,4106,4093,8199,139011,141528,280539,6429,5932,12361,149546,151553,301099
LGA10800,119,109,228,0,6,6,3,0,3,122,115,237,2717,2767,5484,79,63,142,2918,2945,5863
LGA10850,104,96,200,0,4,4,0,0,0,104,100,204,3216,3249,6465,167,148,315,3487,3497,6984
LGA10900,643,634,1277,13,11,24,5,12,17,661,657,1318,34121,36747,70868,1926,1828,3754,36708,39232,75940
LGA10950,195,214,409,4,3,7,0,3,3,199,220,419,1178,1111,2289,100,93,193,1477,1424,2901
LGA11000,26,14,40,0,0,0,0,7,7,26,21,47,1143,1146,2289,48,25,73,1217,1192,2409
LGA11050,20,25,45,0,0,0,0,0,0,20,25,45,1145,1125,2270,39,44,83,1204,1194,2398
LGA11100,283,308,591,8,9,17,3,3,6,294,320,614,18019,18413,36432,1181,1130,2311,19494,19863,39357
LGA11150,402,443,845,3,7,10,6,6,12,411,456,867,846,790,1636,205,163,368,1462,1409,2871
LGA11200,502,532,1034,3,3,6,0,3,3,505,538,1043,327,296,623,52,48,100,884,882,1766
LGA11250,639,716,1355,11,8,19,12,9,21,662,733,1395,7823,8201,16024,531,566,1097,9016,9500,18516
LGA11300,52,63,115,5,0,5,0,0,0,57,63,120,14912,15701,30613,942,748,1690,15911,16512,32423
LGA11350,207,229,436,23,18,41,16,22,38,246,269,515,13135,13898,27033,903,758,1661,14284,14925,29209
LGA11400,184,193,377,4,4,8,8,6,14,196,203,399,6050,6021,12071,159,193,352,6405,6417,12822
LGA11450,557,532,1089,7,9,16,7,5,12,571,546,1117,26256,27332,53588,1052,963,2015,27879,28841,56720
LGA11500,2078,2438,4516,68,77,145,36,32,68,2182,2547,4729,65567,68494,134061,3590,3588,7178,71339,74629,145968
LGA11520,121,146,267,8,8,16,0,3,3,129,157,286,34225,36747,70972,2449,2056,4505,36803,38960,75763
LGA11550,339,382,721,25,25,50,4,20,24,368,427,795,63821,64279,128100,4520,4037,8557,68709,68743,137452
LGA11600,74,100,174,0,0,0,0,0,0,74,100,174,1231,1072,2303,61,49,110,1366,1221,2587
LGA11700,364,395,759,0,0,0,0,0,0,364,395,759,627,518,1145,56,28,84,1047,941,1988
LGA11720,1171,1139,2310,33,38,71,36,39,75,1240,1216,2456,22800,23252,46052,1217,1115,2332,25257,25583,50840
LGA11730,1344,1377,2721,40,39,79,20,24,44,1404,1440,2844,22135,22775,44910,974,937,1911,24513,25152,49665
LGA11750,315,274,589,3,6,9,3,5,8,321,285,606,1942,1816,3758,197,149,346,2460,2250,4710
LGA11800,1261,1414,2675,41,35,76,33,32,65,1335,1481,2816,30390,32309,62699,1477,1422,2899,33202,35212,68414
LGA11860,12,16,28,3,0,3,0,0,0,15,16,31,777,685,1462,24,22,46,816,723,1539
LGA12000,47,56,103,0,3,3,0,0,0,47,59,106,1864,1935,3799,95,100,195,2006,2094,4100
LGA12050,126,123,249,4,4,8,3,4,7,133,131,264,4556,4548,9104,211,192,403,4900,4871,9771
LGA12150,569,609,1178,0,0,0,0,0,0,569,609,1178,1334,1272,2606,127,119,246,2030,2000,4030
LGA12200,126,145,271,0,4,4,8,0,8,134,149,283,3223,3484,6707,195,148,343,3552,3781,7333
LGA12300,65,69,134,3,0,3,3,3,6,71,72,143,5196,5259,10455,219,183,402,5486,5514,11000
LGA12350,397,363,760,14,7,21,4,8,12,415,378,793,5299,5396,10695,342,317,659,6056,6091,12147
LGA12500,136,106,242,4,8,12,3,0,3,143,114,257,3123,3384,6507,188,170,358,3454,3668,7122
LGA12600,2320,2531,4851,24,41,65,29,40,69,2373,2612,4985,15463,16644,32107,893,821,1714,18729,20077,38806
LGA12700,124,127,251,4,3,7,4,3,7,132,133,265,3885,3840,7725,172,157,329,4189,4130,8319
LGA12750,871,888,1759,18,20,38,6,13,19,895,921,1816,15707,16322,32029,977,919,1896,17579,18162,35741
LGA12850,604,598,1202,52,46,98,10,13,23,666,657,1323,87480,90415,177895,4375,4173,8548,92521,95245,187766
LGA12900,410,436,846,12,11,23,10,4,14,432,451,883,3959,4013,7972,157,159,316,4548,4623,9171
LGA12950,268,256,524,3,3,6,0,4,4,271,263,534,1727,1882,3609,107,117,224,2105,2262,4367
LGA13010,238,220,458,7,6,13,10,8,18,255,234,489,3840,3980,7820,191,156,347,4286,4370,8656
LGA13050,113,114,227,0,0,0,0,0,0,113,114,227,2237,2257,4494,81,75,156,2431,2446,4877
LGA13100,1688,1691,3379,66,48,114,31,33,64,1785,1772,3557,72577,78587,151164,3962,3756,7718,78324,84115,162439
LGA13310,395,340,735,16,20,36,8,0,8,419,360,779,12868,12752,25620,594,487,1081,13881,13599,27480
LGA13320,638,634,1272,17,14,31,8,14,22,663,662,1325,15292,15999,31291,906,908,1814,16861,17569,34430
LGA13340,79,95,174,9,8,17,4,7,11,92,110,202,4621,4541,9162,246,205,451,4959,4856,9815
LGA13380,1163,1218,2381,39,25,64,28,29,57,1230,1272,2502,20339,21574,41913,1088,1038,2126,22657,23884,46541
LGA13450,484,497,981,11,5,16,3,3,6,498,505,1003,10906,10947,21853,831,677,1508,12235,12129,24364
LGA13500,45,45,90,0,0,0,0,0,0,45,45,90,1751,1693,3444,73,55,128,1869,1793,3662
LGA13550,667,665,1332,11,6,17,7,7,14,685,678,1363,5027,5070,10097,320,285,605,6032,6033,12065
LGA13650,216,215,431,0,4,4,3,3,6,219,222,441,1876,1876,3752,109,94,203,2204,2192,4396
LGA13660,87,74,161,18,10,28,0,0,0,105,84,189,2335,2306,4641,74,62,136,2514,2452,4966
LGA13700,73,72,145,4,4,8,4,4,8,81,80,161,1616,1656,3272,80,70,150,1777,1806,3583
LGA13800,780,774,1554,26,8,34,8,13,21,814,795,1609,28737,29076,57813,1506,1427,2933,31057,31298,62355
LGA13850,89,75,164,3,0,3,0,0,0,92,75,167,1313,1335,2648,74,66,140,1479,1476,2955
LGA13950,352,393,745,24,26,50,10,12,22,386,431,817,45773,46980,92753,2945,2648,5593,49104,50059,99163
LGA14000,241,269,510,13,21,34,7,11,18,261,301,562,73909,77918,151827,2288,2171,4459,76458,80390,156848
LGA14100,38,14,52,0,0,0,3,0,3,41,14,55,6259,6430,12689,238,234,472,6538,6678,13216
LGA14150,202,239,441,19,13,32,9,7,16,230,259,489,36503,38927,75430,1494,1443,2937,38227,40629,78856
LGA14200,521,479,1000,19,14,33,8,13,21,548,506,1054,7013,7420,14433,338,252,590,7899,8178,16077
LGA14250,23,23,46,0,0,0,0,0,0,23,23,46,733,642,1375,46,29,75,802,694,1496
LGA14300,271,112,383,8,0,8,3,0,3,282,112,394,2906,2316,5222,152,112,264,3340,2540,5880
LGA14350,1514,1517,3031,11,9,20,44,21,65,1569,1547,3116,11906,11844,23750,636,630,1266,14111,14021,28132
LGA14400,134,136,270,3,5,8,5,3,8,142,144,286,9302,9768,19070,347,282,629,9791,10194,19985
LGA14450,101,113,214,0,3,3,3,7,10,104,123,227,26004,27370,53374,1140,1064,2204,27248,28557,55805
LGA14500,55,69,124,10,11,21,0,3,3,65,83,148,50352,54981,105333,1843,1974,3817,52260,57038,109298
LGA14550,245,222,467,8,8,16,0,5,5,253,235,488,4159,4138,8297,229,213,442,4641,4586,9227
LGA14600,492,556,1048,5,3,8,4,3,7,501,562,1063,2600,2556,5156,146,110,256,3247,3228,6475
LGA14650,2599,2785,5384,57,73,130,46,35,81,2702,2893,5595,86417,90822,177239,3192,2979,6171,92311,96694,189005
LGA14700,28,43,71,0,0,0,4,4,8,32,47,79,14659,15599,30258,568,607,1175,15259,16253,31512
LGA14750,295,343,638,0,12,12,0,0,0,295,355,650,4852,4903,9755,290,342,632,5437,5600,11037
LGA14800,216,264,480,9,11,20,8,7,15,233,282,515,23006,25810,48816,1488,1378,2866,24727,27470,52197
LGA14850,869,928,1797,27,20,47,41,30,71,937,978,1915,19086,20107,39193,881,778,1659,20904,21863,42767
LGA14870,466,389,855,26,19,45,0,0,0,492,408,900,9264,8962,18226,534,500,1034,10290,9870,20160
LGA14900,1210,1302,2512,58,52,110,31,25,56,1299,1379,2678,82641,84253,166894,5384,5187,10571,89324,90819,180143
