region_id,Age_40_44_NonInd_F,Age_40_44_NonInd_P,Age_40_44_Indig_st_nsM,Age_40_44_Indig_st_nsF,Age_40_44_Indig_st_nsP,Age_40_44_TotM,Age_40_44_TotF,Age_40_44_TotP,Age_45_49_Indig_M,Age_45_49_Indig_F,Age_45_49_Indig_P,Age_45_49_NonInd_M,Age_45_49_NonInd_F,Age_45_49_NonInd_P,Age_45_49_Indig_st_nsM,Age_45_49_Indig_st_nsF,Age_45_49_Indig_st_nsP,Age_45_49_TotM,Age_45_49_TotF,Age_45_49_TotP,Age_50_54_Indig_M,Age_50_54_Indig_F,Age_50_54_Indig_P,Age_50_54_NonInd_M,Age_50_54_NonInd_F,Age_50_54_NonInd_P,Age_50_54_Indig_st_nsM,Age_50_54_Indig_st_nsF,Age_50_54_Indig_st_nsP,Age_50_54_TotM,Age_50_54_TotF,Age_50_54_TotP,Age_55_59_Indig_M,Age_55_59_Indig_F,Age_55_59_Indig_P,Age_55_59_NonInd_M,Age_55_59_NonInd_F,Age_55_59_NonInd_P,Age_55_59_Indig_st_nsM,Age_55_59_Indig_st_nsF,Age_55_59_Indig_st_nsP,Age_55_59_TotM,Age_55_59_TotF,Age_55_59_TotP,Age_60_64_Indig_M,Age_60_64_Indig_F,Age_60_64_Indig_P,Age_60_64_NonInd_M,Age_60_64_NonInd_F,Age_60_64_NonInd_P,Age_60_64_Indig_st_nsM,Age_60_64_Indig_st_nsF,Age_60_64_Indig_st_nsP,Age_60_64_TotM,Age_60_64_TotF,Age_60_64_TotP,Age_65over_Indig_M,Age_65over_Indig_F,Age_65over_Indig_P,Age_65over_NonInd_M,Age_65over_NonInd_F,Age_65over_NonInd_P,Age_65over_Indig_st_nsM,Age_65over_Indig_st_nsF,Age_65over_Indig_st_nsP,Age_65_over_TotM,Age_65_over_TotF,Age_65_over_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_Indig_st_nsM,Tot_Indig_st_nsF,Tot_Indig_st_nsP,Tot_TotM,Tot_TotF,Tot_TotP
LGA10050,1517,2953,80,61,141,1541,1616,3157,26,25,51,1416,1550,2966,64,38,102,1506,1613,3119,15,22,37,1488,1659,3147,79,56,135,1582,1737,3319,19,17,36,1361,1443,2804,65,60,125,1445,1520,2965,13,13,26,1269,1326,2595,53,52,105,1335,1391,2726,13,19,32,2952,3859,6811,181,243,424,3146,4121,7267,546,562,1108,21408,23183,44591,1117,994,2111,23071,24739,47810
LGA10110,658,1251,44,41,85,672,755,1427,42,37,79,731,752,1483,26,39,65,799,828,1627,31,29,60,679,789,1468,41,35,76,751,853,1604,25,35,60,673,676,1349,24,27,51,722,738,1460,18,18,36,561,600,1161,40,22,62,619,640,1259,26,27,53,1397,1822,3219,72,119,191,1495,1968,3463,700,814,1514,10191,11060,21251,623,716,1339,11514,12590,24104
LGA10150,1506,2828,86,77,163,1411,1590,3001,9,12,21,1337,1456,2793,82,73,155,1428,1541,2969,7,6,13,1180,1303,2483,73,59,132,1260,1368,2628,7,4,11,1024,1071,2095,54,60,114,1085,1135,2220,3,0,3,897,905,1802,59,60,119,959,965,1924,9,5,14,2338,3118,5456,208,266,474,2555,3389,5944,117,117,234,18558,19800,38358,1357,1266,2623,20032,21183,41215
LGA10200,2344,4727,149,142,291,2549,2494,5043,14,11,25,2306,2174,4480,159,119,278,2479,2304,4783,15,8,23,2133,2071,4204,142,135,277,2290,2214,4504,5,14,19,1722,1742,3464,131,95,226,1858,1851,3709,3,3,6,1374,1316,2690,84,53,137,1461,1372,2833,10,9,19,2763,3138,5901,182,199,381,2955,3346,6301,257,191,448,35179,33122,68301,2789,2199,4988,38225,35512,73737
LGA10250,1327,2436,43,44,87,1193,1431,2624,18,49,67,1256,1352,2608,43,33,76,1317,1434,2751,33,28,61,1319,1535,2854,61,52,113,1413,1615,3028,19,23,42,1357,1489,2846,45,56,101,1421,1568,2989,18,17,35,1355,1374,2729,50,38,88,1423,1429,2852,23,34,57,3579,4511,8090,139,159,298,3741,4704,8445,555,670,1225,17578,19082,36660,710,678,1388,18843,20430,39273
LGA10300,64,135,3,3,6,77,73,150,3,3,6,68,84,152,5,5,10,76,92,168,5,4,9,82,84,166,11,6,17,98,94,192,5,6,11,74,85,159,3,0,3,82,91,173,3,0,3,84,55,139,7,4,11,94,59,153,3,5,8,154,168,322,19,5,24,176,178,354,64,84,148,1012,965,1977,98,58,156,1174,1107,2281
LGA10350,5812,11292,308,296,604,5827,6167,11994,27,45,72,5679,5879,11558,310,280,590,6016,6204,12220,33,46,79,5596,5674,11270,296,274,570,5925,5994,11919,27,36,63,4765,4830,9595,317,233,550,5109,5099,10208,25,30,55,4178,4250,8428,234,197,431,4437,4477,8914,37,48,85,10675,12868,23543,636,776,1412,11348,13692,25040,640,747,1387,84029,86798,170827,5259,4879,10138,89928,92424,182352
LGA10470,1178,2313,64,42,106,1248,1264,2512,19,33,52,1167,1199,2366,54,44,98,1240,1276,2516,22,20,42,1188,1208,2396,53,48,101,1263,1276,2539,17,23,40,1124,1070,2194,58,49,107,1199,1142,2341,12,20,32,1003,997,2000,42,57,99,1057,1074,2131,28,22,50,2259,2754,5013,126,165,291,2413,2941,5354,854,780,1634,17553,17569,35122,919,844,1763,19326,19193,38519
LGA10550,976,1834,48,30,78,927,1028,1955,22,30,52,994,1090,2084,40,39,79,1056,1159,2215,17,20,37,1236,1437,2673,55,53,108,1308,1510,2818,16,17,33,1312,1325,2637,65,53,118,1393,1395,2788,14,13,27,1299,1283,2582,70,52,122,1383,1348,2731,21,22,43,3144,3307,6451,150,191,341,3315,3520,6835,442,463,905,14569,15129,29698,672,673,1345,15683,16265,31948
LGA10600,432,772,12,9,21,361,448,809,13,16,29,410,495,905,13,12,25,436,523,959,11,12,23,489,559,1048,16,11,27,516,582,1098,13,7,20,504,502,1006,16,12,28,533,521,1054,9,3,12,453,431,884,16,11,27,478,445,923,8,11,19,1139,1269,2408,31,33,64,1178,1313,2491,192,186,378,5685,6099,11784,195,160,355,6072,6445,12517
