region_id,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE101001,152,138,133,271,81,87,168,294,281,575,84,75,159,459,443,902
IARE101002,1241,1316,1289,2605,991,1065,2056,4001,4419,8420,738,637,1375,5730,6121,11851
IARE101003,174,163,176,339,111,106,217,370,465,835,91,98,189,572,669,1241
IARE101004,208,207,245,452,266,260,526,554,652,1206,122,102,224,942,1014,1956
IARE101005,658,631,620,1251,259,269,528,1550,1719,3269,372,319,691,2181,2307,4488
IARE101006,69,100,92,192,54,91,145,219,281,500,48,30,78,321,402,723
IARE101007,331,369,305,674,194,175,369,882,889,1771,190,157,347,1266,1221,2487
IARE101008,304,744,367,1111,560,304,864,894,807,1701,177,149,326,1631,1260,2891
IARE102001,1074,821,939,1760,313,377,690,3722,4105,7827,544,603,1147,4579,5085,9664
IARE102002,256,406,281,687,125,108,233,960,995,1955,158,123,281,1243,1226,2469
IARE102003,464,477,484,961,286,262,548,1154,1307,2461,269,233,502,1709,1802,3511
IARE102004,159,162,166,328,89,99,188,485,494,979,101,80,181,675,673,1348
IARE102005,459,671,693,1364,264,255,519,2291,2511,4802,316,223,539,2871,2989,5860
IARE102006,217,302,275,577,156,169,325,741,784,1525,132,108,240,1029,1061,2090
IARE102007,716,559,527,1086,346,357,703,597,620,1217,377,360,737,1320,1337,2657
IARE102008,140,184,141,325,170,203,373,547,510,1057,101,56,157,818,769,1587
IARE102009,712,919,614,1533,206,163,369,1994,1843,3837,407,361,768,2607,2367,4974
IARE102010,474,516,495,1011,266,277,543,1257,1413,2670,264,239,503,1787,1929,3716
IARE102011,1936,1951,1893,3844,963,1000,1963,6157,6347,12504,1052,1013,2065,8172,8360,16532
IARE102012,301,304,265,569,88,94,182,617,763,1380,185,135,320,890,992,1882
IARE102013,435,426,462,888,126,108,234,1498,1604,3102,225,239,464,1849,1951,3800
IARE102014,224,245,239,484,105,117,222,945,1082,2027,135,111,246,1185,1310,2495
IARE103001,311,255,233,488,159,178,337,164,177,341,182,143,325,505,498,1003
IARE103002,73,64,62,126,144,178,322,44,54,98,43,33,76,231,265,496
IARE103003,279,239,209,448,123,109,232,431,456,887,166,125,291,720,690,1410
IARE103004,182,193,175,368,198,228,426,249,298,547,106,92,198,553,618,1171
IARE103005,936,1045,995,2040,486,458,944,2024,2194,4218,496,486,982,3006,3138,6144
IARE103006,377,432,321,753,325,361,686,419,399,818,235,159,394,979,919,1898
IARE104001,1042,1109,1153,2262,228,289,517,4367,4810,9177,593,542,1135,5188,5641,10829
IARE104002,1348,1125,1023,2148,114,117,231,3414,3845,7259,795,635,1430,4323,4597,8920
IARE104003,1678,2193,1744,3937,602,541,1143,6055,5947,12002,960,876,1836,7617,7364,14981
IARE104004,1364,1747,1564,3311,657,629,1286,5265,5570,10835,763,747,1510,6685,6946,13631
IARE104005,2879,3127,3260,6387,946,1108,2054,11316,12532,23848,1660,1505,3165,13922,15145,29067
IARE104006,343,401,387,788,97,116,213,1402,1478,2880,203,170,373,1702,1764,3466
IARE104007,5950,5415,5727,11142,780,769,1549,19274,21141,40415,3316,3074,6390,23370,24984,48354
IARE104008,1387,1319,1368,2687,272,269,541,3115,3398,6513,748,727,1475,4135,4394,8529
IARE104009,943,1479,1080,2559,781,688,1469,2921,2828,5749,523,522,1045,4225,4038,8263
IARE104010,315,340,312,652,94,96,190,960,1087,2047,186,155,341,1240,1338,2578
IARE104011,4266,4923,5031,9954,1118,1226,2344,22363,23341,45704,2511,2229,4740,25992,26796,52788
IARE104012,1240,1228,1157,2385,445,469,914,5333,5889,11222,728,635,1363,6506,6993,13499
IARE104013,1904,1991,1948,3939,495,538,1033,8424,8935,17359,1118,966,2084,10037,10439,20476
IARE104014,4799,4725,4509,9234,794,799,1593,18922,19928,38850,2896,2363,5259,22612,23090,45702
IARE104015,2085,2201,2247,4448,515,524,1039,7702,8502,16204,1207,1066,2273,9424,10092,19516
IARE104016,2531,2253,2249,4502,476,515,991,7222,7782,15004,1421,1265,2686,9119,9562,18681
IARE104017,666,784,770,1554,313,337,650,2354,2599,4953,386,345,731,3053,3281,6334
IARE104018,706,728,619,1347,177,201,378,2825,2911,5736,440,338,778,3442,3450,6892
IARE104019,1608,1567,1614,3181,551,553,1104,4759,5185,9944,894,838,1732,6204,6576,12780
IARE104020,2938,2910,3200,6110,647,665,1312,8986,10219,19205,1601,1575,3176,11234,12459,23693
IARE104021,4522,4875,5242,10117,1203,1231,2434,17514,19260,36774,2521,2362,4883,21238,22853,44091
IARE105001,1560,1562,1568,3130,246,239,485,5842,6827,12669,911,779,1690,6999,7845,14844
IARE105002,383,411,339,750,124,163,287,955,930,1885,253,158,411,1332,1251,2583
IARE105003,1425,1944,1310,3254,501,369,870,5661,5443,11104,803,728,1531,6965,6540,13505
IARE105004,462,503,527,1030,128,156,284,2265,2451,4716,243,258,501,2636,2865,5501
IARE105005,175,170,165,335,76,80,156,508,471,979,106,96,202,690,647,1337
IARE105006,600,715,642,1357,113,108,221,1974,2096,4070,360,301,661,2447,2505,4952
IARE105007,475,573,540,1113,115,110,225,2215,2469,4684,278,232,510,2608,2811,5419
IARE105008,275,300,303,603,61,67,128,780,898,1678,166,124,290,1007,1089,2096
IARE105009,550,575,517,1092,200,174,374,1323,1429,2752,303,277,580,1826,1880,3706
IARE105010,492,523,514,1037,98,85,183,1417,1609,3026,297,230,527,1812,1924,3736
IARE105011,207,284,305,589,187,196,383,979,997,1976,118,118,236,1284,1311,2595
IARE105012,1642,1549,1450,2999,333,359,692,4470,4547,9017,923,832,1755,5726,5738,11464
IARE105013,367,1149,383,1532,278,88,366,1977,1470,3447,249,179,428,2504,1737,4241
IARE105014,198,254,233,487,199,228,427,582,629,1211,120,93,213,901,950,1851
IARE105015,905,1361,897,2258,291,193,484,3078,2780,5858,521,469,990,3890,3442,7332
IARE105016,1079,1064,844,1908,191,212,403,2598,2731,5329,689,469,1158,3478,3412,6890
IARE105017,272,248,266,514,129,137,266,529,608,1137,144,143,287,802,888,1690
IARE105018,1480,1396,1311,2707,450,451,901,4448,4863,9311,859,708,1567,5757,6022,11779
IARE105019,333,343,343,686,87,118,205,1220,1217,2437,174,180,354,1481,1515,2996
IARE105020,851,1027,851,1878,131,123,254,3243,3458,6701,511,422,933,3885,4003,7888
IARE105021,1378,1509,1598,3107,591,623,1214,7925,8672,16597,789,756,1545,9305,10051,19356
IARE105022,446,410,462,872,77,99,176,1381,1513,2894,253,235,488,1711,1847,3558
IARE106001,985,968,1065,2033,217,231,448,3287,3668,6955,535,528,1063,4039,4427,8466
IARE106002,1456,1363,1318,2681,384,403,787,3336,3621,6957,817,740,1557,4537,4764,9301
IARE106003,3824,3869,3454,7323,953,888,1841,9839,10336,20175,2114,1936,4050,12906,13160,26066
IARE106004,3328,2902,2289,5191,410,362,772,8830,9215,18045,1953,1515,3468,11193,11092,22285
IARE106005,2971,3376,2952,6328,491,459,950,11677,12209,23886,1707,1472,3179,13875,14140,28015
IARE107001,3795,4868,3164,8032,187,105,292,11963,10460,22423,2358,1804,4162,14508,12369,26877
IARE107002,3415,3274,3219,6493,138,133,271,25519,25399,50918,2014,1825,3839,27671,27357,55028
IARE107003,8549,10426,9447,19873,1965,1723,3688,42717,42937,85654,5107,4618,9725,49789,49278,99067
IARE107004,2908,2261,2249,4510,306,274,580,9548,10261,19809,1608,1487,3095,11462,12022,23484
IARE107005,1806,1539,1505,3044,125,119,244,4936,4863,9799,982,935,1917,6043,5917,11960
IARE107006,1542,1510,1421,2931,267,250,517,8037,8526,16563,898,789,1687,9202,9565,18767
IARE107007,5424,5391,5618,11009,1006,1108,2114,19250,20130,39380,2963,2945,5908,23219,24183,47402
IARE107008,13923,13972,13076,27048,418,439,857,44595,44108,88703,8013,7171,15184,53026,51718,104744
IARE107009,5593,7183,7121,14304,298,266,564,26712,27549,54261,3353,3196,6549,30363,31011,61374
IARE107010,2337,2055,1929,3984,354,326,680,7860,8258,16118,1336,1195,2531,9550,9779,19329
IARE107011,4172,3992,3860,7852,133,176,309,12937,13157,26094,2425,2111,4536,15495,15444,30939
IARE107012,6132,5212,5470,10682,133,177,310,39683,41084,80767,3468,3311,6779,43284,44572,87856
IARE107013,3759,3217,3201,6418,98,75,173,16375,16434,32809,2098,1910,4008,18571,18419,36990
IARE107014,3800,3681,3812,7493,146,157,303,17953,18300,36253,2150,1993,4143,20249,20450,40699
IARE107015,1843,2217,2189,4406,515,521,1036,10587,11105,21692,1094,983,2077,12196,12609,24805
IARE107016,2442,1687,1609,3296,80,97,177,5165,5889,11054,1306,1202,2508,6551,7188,13739
IARE107017,7975,7480,7499,14979,564,544,1108,25364,26273,51637,4434,4237,8671,30362,31054,61416
IARE107018,9,7,5,12,0,0,0,19,25,44,4,5,9,23,30,53
IARE107019,4560,3360,2902,6262,188,197,385,8371,9173,17544,2586,2122,4708,11145,11492,22637
IARE107020,7749,6551,6467,13018,181,182,363,30131,31157,61288,4458,3825,8283,34770,35164,69934
IARE107021,7430,6953,6253,13206,347,232,579,22208,22321,44529,4333,3640,7973,26888,26193,53081
IARE107022,5433,5917,5714,11631,1226,1266,2492,22853,24058,46911,3143,2781,5924,27222,28105,55327
IARE107023,7740,6731,5187,11918,519,353,872,18410,17663,36073,4263,3796,8059,23192,21812,45004
IARE107024,4541,3977,3740,7717,116,108,224,12131,12033,24164,2613,2224,4837,14860,14365,29225
IARE107025,5397,5081,5126,10207,375,339,714,26671,27829,54500,3200,2705,5905,30246,30873,61119
IARE107026,20151,12985,10480,23465,339,410,749,17977,19914,37891,11516,8918,20434,29832,29242,59074
IARE107027,9233,7146,6627,13773,147,150,297,23773,24618,48391,5255,4472,9727,29175,29240,58415
IARE107028,9885,6323,6371,12694,77,70,147,21669,23339,45008,5268,4934,10202,27014,28343,55357
IARE107029,1171,1197,1172,2369,234,230,464,5576,5641,11217,666,623,1289,6476,6494,12970
IARE107030,5817,5917,5773,11690,912,910,1822,26075,26494,52569,3448,2885,6333,30435,30289,60724
IARE107031,10913,6849,6570,13419,66,78,144,11966,13197,25163,5842,5301,11143,17874,18576,36450
IARE194994,1155,1958,861,2819,250,172,422,1727,1153,2880,760,420,1180,2737,1745,4482
IARE197997,4,9,0,9,0,0,0,9,0,9,7,0,7,16,0,16
